,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
65,gari,2.95,94,100,9.8,59.4307,62.3497
66,egvekinot,-7.76,90,100,14.27,66.3167,-179.1667
67,vredendal,77.63,53,90,16.2,-31.6683,18.5012
68,elban,-9.8,89,66,0.34,50.1018,136.5094
69,amroli,87.8,40,20,2.3,21.3,72.85
70,vaini,78.8,94,75,3.44,-21.2,-175.2
71,ajdabiya,63.03,56,3,18.48,30.7554,20.2263
72,samusu,,,,,,
73,qaanaaq,10.85,80,98,0.96,77.484,-69.3632
74,buala,81.03,78,75,8.05,-8.145,159.5921
75,tapejara,64.92,90,0,7.81,-28.0681,-52.0139
76,nikolskoye,1.83,85,75,6.71,59.7035,30.7861
77,merauke,82.38,81,100,11.05,-8.4667,140.3333
78,mildura,68.49,24,0,13.8,-34.2,142.15
79,tuktoyaktuk,-19.7,88,18,11.1,69.4541,-133.0374
80,belushya guba,,,,,,
81,hermanus,72.99,74,22,19.73,-34.4187,19.2345
82,assela,,,,,,
83,natal,76.21,83,40,4.61,-5.795,-35.2094
84,berwick,31.24,95,80,4.18,41.0545,-76.2333
85,talnakh,-40.54,78,36,5.39,69.4865,88.3972
86,louisbourg,,,,,,
87,onega,-10.7,90,7,3.51,63.9061,38.1404
88,tsihombe,,,,,,
89,buin,59.85,58,20,2.3,-33.7333,-70.75
90,chuy,67.55,75,1,9.46,-33.6971,-53.4616
91,galesburg,31.62,100,90,12.66,40.9478,-90.3712
92,warrnambool,57,84,58,3,-38.3833,142.4833
93,knysna,73.4,78,75,13.8,-34.0363,23.0471
94,tucuma,75.85,89,51,5.21,-0.1833,-50.05
95,dudinka,-44.75,78,9,3.27,69.4058,86.1778
96,salalah,82.4,42,0,12.66,17.0151,54.0924
97,port-gentil,84.2,79,40,5.75,-0.7193,8.7815
98,pedernales,75.15,60,100,4.29,18.0384,-71.744
99,hithadhoo,81.86,79,53,17.56,-0.6,73.0833
100,mullaitivu,,,,,,
101,flin flon,-0.58,92,58,8.41,54.7682,-101.865
102,hofn,33.8,86,75,5.75,64.2539,-15.2082
103,kapaa,70.12,100,90,4.61,22.0752,-159.319
104,barrow,-9.4,70,1,13.8,71.2906,-156.7887
105,ngunguru,64.99,75,1,1.99,-35.6167,174.5
106,sawtell,75.31,78,84,11.5,-30.3833,153.1
107,torbay,30.83,100,90,4.61,47.6666,-52.7314
108,new norfolk,52.41,66,96,1.01,-42.7826,147.0587
109,amderma,,,,,,
110,ribeira grande,62.6,88,75,23.02,38.5167,-28.7
111,east london,82.4,78,0,2.3,-33.0153,27.9116
112,temuco,55.4,100,40,5.75,-38.7333,-72.6
113,bonavista,27.21,93,100,5.91,48.6499,-53.1147
114,samana,72.27,89,84,4.07,19.2056,-69.3369
115,santo antonio do ica,72.9,97,88,1.21,-3.1022,-67.9397
116,carnarvon,87.8,66,7,20.71,-24.8667,113.6333
117,fortuna,48.38,100,1,5.75,40.5982,-124.1573
118,lowestoft,36.68,92,100,5.64,52.4752,1.7516
119,pafos,61.61,52,75,13.8,34.7667,32.4167
120,toliary,,,,,,
121,lamar,41,36,40,14.97,33.6668,-95.5836
122,bukachacha,-18.17,85,3,2.46,52.9833,116.9167
123,charters towers,77.99,57,100,10.67,-20.1,146.2667
124,thompson,5,85,40,11.5,55.7435,-97.8558
125,port alfred,87.46,57,71,12.57,-33.5906,26.891
126,nuuk,23,68,40,8.05,64.1835,-51.7216
127,mergui,,,,,,
128,longyearbyen,24.8,86,75,4.61,78.2186,15.6401
129,spassk,-1.53,88,0,1.81,52.747,87.7545
130,bergen,20.5,93,20,3.44,60.392,5.328
131,antalaha,86.14,67,70,8.39,-14.9003,50.2788
132,skibbereen,42.8,100,75,9.22,51.55,-9.2667
133,tumannyy,,,,,,
134,vaitupu,,,,,,
135,lompoc,52.88,76,1,8.05,34.6391,-120.4579
136,arys,55.4,41,0,2.24,42.4252,68.795
137,potam,52,43,0,5.99,27.6,-110.3833
138,qasigiannguit,17.6,73,90,12.66,68.8193,-51.1922
139,castro,64.4,91,75,8.68,-24.7911,-50.0119
140,iwanai,24.06,91,100,7.99,42.9744,140.5089
141,yaring,80.6,78,75,9.22,6.8662,101.3689
142,tasiilaq,32,93,90,4.88,65.6145,-37.6368
143,dikson,-31.38,81,17,5.48,73.5069,80.5464
144,deep river,32,93,90,4.61,46.1001,-77.4995
145,fort nelson,28.4,69,90,12.66,58.8053,-122.7002
146,tazovskiy,-19.07,88,100,13.31,67.4667,78.7
147,aksarka,-9.02,89,100,6.62,66.5606,67.7975
148,port elizabeth,73.4,83,0,16.11,-33.918,25.5701
149,pemangkat,78.58,83,99,5.88,1.1667,108.9667
150,odweyne,79.88,17,63,3.87,9.4092,45.064
151,gazni,,,,,,
152,umtata,77,65,75,1.14,-31.5889,28.7844
153,okhotsk,-17.19,76,53,7.87,59.3833,143.3
154,murgab,69.8,46,75,13.8,37.4966,61.9714
155,arraial do cabo,71.6,100,20,8.05,-22.9661,-42.0278
156,bengkulu,83.3,66,42,5.03,-3.8004,102.2655
157,isla mujeres,71.56,94,75,8.05,21.2311,-86.731
158,pacific grove,53.94,76,1,10.65,36.6177,-121.9166
159,ulladulla,72.7,73,0,6.91,-35.35,150.4667
160,ancud,48.2,100,20,2.3,-41.8697,-73.8203
161,khani,48.2,81,75,9.22,41.9563,42.9566
162,penzance,42.31,87,20,2.3,50.1186,-5.5371
163,dandong,15.35,85,0,20.71,40.1292,124.3947
164,waynesboro,31.44,60,1,1.57,38.0685,-78.8895
165,cocobeach,82.4,89,20,6.91,1.0002,9.5823
166,ulverstone,53.44,63,90,15.01,-41.15,146.1667
167,marcona,,,,,,
168,souillac,86,74,40,16.11,-20.5167,57.5167
169,marienburg,28.33,100,100,11.65,54.0359,19.0266
170,tessalit,69.4,20,14,12.68,20.1986,1.0114
171,bredasdorp,86,37,42,17.27,-34.5322,20.0403
172,odesskoye,-5.24,90,93,10.94,54.2111,72.9651
173,naryan-mar,-17.79,85,84,2.33,67.6713,53.087
174,sri aman,82.4,89,75,1.52,1.2376,111.4621
175,grahamstown,95.31,32,58,15.46,-33.3042,26.5328
176,grindavik,39.2,87,75,16.11,63.8424,-22.4338
177,aba,84.2,74,40,3.44,5.1066,7.3667
178,muros,45.34,96,42,5.19,42.7762,-9.0603
179,lianzhou,65.1,31,20,1.34,24.7811,112.3825
180,guerrero negro,59.67,34,0,0.78,27.9769,-114.0611
181,launceston,51.26,76,73,3.49,-41.45,147.1667
182,puerto escondido,75.42,67,99,3.2,15.85,-97.0667
183,mana,75.33,89,97,7.99,5.6592,-53.7767
184,pisco,66.11,82,0,6.91,-13.7,-76.2167
185,esperance,66.2,52,25,26.46,-33.8667,121.9
186,fort-shevchenko,44.73,88,100,7.92,44.5086,50.263
187,mirpur mathelo,82.02,11,0,1.7,28.0227,69.5489
188,hirara,68,77,20,10.36,24.8,125.2833
189,kobryn,17.6,86,90,11.18,52.2138,24.3564
190,marondera,66.42,90,100,8.28,-18.1853,31.5519
191,rio claro,72.48,100,90,2.3,-22.4114,-47.5614
192,jeremie,75.79,79,74,2.64,18.65,-74.1167
193,novoseleznevo,2.01,90,100,13.85,55.6821,69.2056
194,porto santo,57.2,58,40,11.5,33.072,-16.3415
195,kavaratti,82.06,75,100,11.9,10.5669,72.642
196,veraval,81.39,37,0,12.17,20.9,70.3667
197,eureka,48.04,94,82,2.17,40.8021,-124.1637
198,barentsburg,,,,,,
199,adre,80.87,16,0,14.7,13.4667,22.2
200,saint-philippe,81.63,70,75,19.57,-21.3585,55.7679
201,sokoni,87.8,70,40,10.36,-6.4333,39.55
202,bilibino,-17.93,85,100,1.25,68.0546,166.4372
203,illoqqortoormiut,,,,,,
204,san jeronimo,47.75,77,95,0.36,-11.9472,-75.2829
205,westport,32.79,87,1,5.75,41.1415,-73.3579
206,hilo,67.68,78,1,4.61,19.7297,-155.09
207,zhanakorgan,37.17,75,0,5.32,43.9098,67.2495
208,sitka,42.8,81,90,12.66,57.0531,-135.33
209,khatanga,-50.84,75,14,1.28,71.9667,102.5
210,iguguno,76.77,66,41,3.67,-4.5697,34.6275
211,rio grande,73,78,26,3,-32.035,-52.0986
212,barbar,,,,,,
213,shirokiy,-18,87,44,6.44,49.758,129.523
214,atuona,76.86,79,5,12.48,-9.8,-139.0333
215,adrar,61.23,28,94,18.41,20.5022,-10.0711
216,balakovo,21.61,97,99,10.49,52.0278,47.8007
217,codrington,56.84,76,60,25.5,-38.2667,141.9667
218,xuddur,86.86,36,54,17.13,4.1213,43.8894
219,melito di porto salvo,50.34,88,75,3.44,37.9222,15.7714
220,san pedro del parana,73.62,83,0,6.91,-26.8333,-56.2
221,port hardy,44.19,93,40,6.91,50.6996,-127.4199
222,saint andrews,35.6,86,1,7.34,34.0454,-81.1293
223,kenora,30.09,93,90,5.75,49.8167,-94.4337
224,laguna,44.53,87,90,1.68,38.421,-121.4238
225,ixtapa,62.01,96,100,3.36,20.7,-105.2
226,paso de carrasco,64.53,77,0,8.05,-34.8603,-56.0522
227,develi,32,80,75,5.75,38.3906,35.4922
228,comodoro rivadavia,59,82,75,8.05,-45.8667,-67.5
229,labuhan,81.3,84,100,11.18,-6.8844,112.2051
230,nara,51.28,58,20,2.3,34.6851,135.8049
231,san rafael,66.97,75,11,8.99,-34.6177,-68.3301
232,sabratah,56.88,64,80,11.34,32.7933,12.4885
233,la asuncion,74.8,86,100,11.07,11.0333,-63.8628
234,aranos,79.14,55,96,5.48,-24.1333,19.1167
235,tinskoy,1.13,91,100,15.93,56.1525,96.9161
236,hamilton,39.72,93,90,9.22,39.1834,-84.5333
237,brae,42.8,93,75,20.71,60.3964,-1.353
238,salinopolis,78.89,83,70,9.78,-0.6136,-47.3561
239,kupang,80.6,89,40,6.91,-10.1667,123.5833
240,sao miguel do araguaia,72.16,92,97,6.53,-13.275,-50.1628
241,ponta do sol,50.68,54,0,1.99,32.6667,-17.1
242,faanui,81.23,76,0,15.64,-16.4833,-151.75
243,noumea,81.41,94,75,2.3,-22.2763,166.4572
244,sept-iles,19.35,86,0,5.75,50.2001,-66.3821
245,medea,53.6,76,40,5.75,36.2642,2.7539
246,bambanglipuro,81.66,74,100,7.56,-7.95,110.2833
247,tautira,78.4,78,0,3.44,-17.7333,-149.15
248,cherskiy,-21.84,87,93,4.23,68.75,161.3
249,itirapina,69.8,100,90,2.3,-22.2528,-47.8228
250,luderitz,70.29,66,64,10.36,-26.6481,15.1594
251,kuala terengganu,80.31,74,40,5.75,5.3302,103.1408
252,auki,79.07,75,91,5.03,-8.7676,160.7034
253,san fernando,84.2,65,75,6.91,15.0286,120.6898
254,constitucion,54.68,77,0,5.95,-35.3333,-72.4167
255,xiuyan,12,87,31,19.89,40.2928,123.2744
256,villaviciosa,45.99,87,98,3.29,43.4813,-5.4357
257,mbandaka,87.37,52,1,3.47,0.0487,18.2603
258,livani,5.97,91,94,7.83,56.3543,26.1758
259,bereda,41,100,86,3,43.2686,-7.5406
260,areosa,46.31,93,5,3.02,41.7178,-8.8571
261,chumikan,-13.95,81,3,18.07,54.7183,135.315
262,pevek,-12.71,90,98,0.49,69.7008,170.3133
263,sinnamary,76.51,88,53,11.21,5.3833,-52.95
264,nizhneyansk,,,,,,
265,isangel,80.6,94,90,8.41,-19.55,169.2667
266,gardan diwal,,,,,,
267,khash,66.79,19,0,2.37,28.2211,61.2158
268,saint-augustin,23.38,96,35,2.66,51.226,-58.6502
269,bismarck,25.12,74,90,25.32,46.8083,-100.7837
270,severo-kurilsk,24.26,91,100,8.97,50.6789,156.125
271,tuatapere,56.37,92,1,2.19,-46.1333,167.6833
272,ilulissat,17.6,73,90,12.66,69.2167,-51.1
273,poltavka,-4.54,90,98,14.52,54.3663,71.7632
274,camabatela,76.86,52,46,4.88,-8.1881,15.375
275,tenenkou,79.54,15,1,16.89,14.4572,-4.9169
276,ahipara,62.01,85,0,6.42,-35.1667,173.1667
277,yanan,,,,,,
278,jalu,64.8,44,0,11.32,29.0331,21.5482
279,santiago de cuba,69.8,94,20,6.91,20.0247,-75.8219
280,snasa,12.2,85,75,14.97,64.2457,12.3778
281,smirnykh,-7.85,85,0,4.27,49.75,142.8333
282,pangnirtung,-4.77,73,18,2.84,66.1451,-65.7125
283,khonuu,,,,,,
284,labutta,,,,,,
285,axim,84.7,67,32,5.19,4.8699,-2.2405
286,tiarei,78.39,78,0,3.44,-17.5333,-149.3333
287,tondano,82.4,78,40,6.91,1.3038,124.9112
288,reyes,72.88,98,100,1.52,-14.3167,-67.3833
289,ndele,94.75,11,3,4.74,8.4109,20.6473
290,los llanos de aridane,58.62,59,75,10.36,28.6585,-17.9182
291,karaul,,,,,,
292,nouadhibou,60.8,36,0,24.16,20.931,-17.0347
293,verkhnevilyuysk,-26.79,85,100,7.43,63.4453,120.3167
294,alofi,78.8,94,97,4.61,-19.0595,-169.9187
295,kaeo,64.99,75,0,1.99,-35.1,173.7833
296,tiznit,54.28,41,0,0.83,29.5833,-9.5
297,saint-pierre,81.48,70,75,19.57,-21.3393,55.4781
298,kilindoni,81.97,75,73,8.93,-7.9139,39.6668
299,attawapiskat,,,,,,
300,am timan,89.51,12,28,8.7,11.0297,20.2827
301,mehamn,35.6,87,90,6.91,71.0357,27.8492
302,phan rang,,,,,,
303,kalavrita,,,,,,
304,lata,43.81,100,90,1.14,40.1629,-8.3327
305,martinsburg,31.28,86,1,3.44,39.4562,-77.9639
306,saint anthony,33.21,86,90,12.66,45.0205,-93.218
307,barranco,71.73,86,79,3.2,9.5167,-82.7
308,tabriz,46.4,53,40,18.41,38.08,46.2919
309,saryshagan,,,,,,
310,aklavik,-2.2,84,98,3.44,68.2191,-135.0107
311,kyra,-7.78,82,55,4.27,49.5776,111.9753
312,ayan,-13.58,79,83,6.31,56.45,138.1667
313,kalmunai,80.69,79,100,7.78,7.4167,81.8167
314,caraballeda,66.78,83,40,2.3,10.6112,-66.8522
315,puksoozero,-14.57,89,100,4.09,62.5903,40.6066
316,bambous virieux,86.47,74,40,16.11,-20.3428,57.7575
317,tilichiki,-25.96,85,0,7.63,60.4667,166.1
318,beringovskiy,-15.23,88,41,9.37,63.05,179.3167
319,port lincoln,58.15,63,22,14.97,-34.7333,135.8667
320,yelizovo,3.2,72,13,6.71,53.1873,158.3805
321,camopi,70.21,98,89,0.2,3.1655,-52.3158
322,manzil tamim,,,,,,
323,cabo san lucas,57.96,24,23,3,22.8909,-109.9124
324,southbridge,32.99,99,84,4.38,42.0751,-72.0334
325,rudsar,77.94,12,40,24.16,37.1376,50.288
326,eydhafushi,81.72,71,16,9.82,5.1033,73.0708
327,maumere,83.61,71,100,1.81,-8.6199,122.2111
328,coquimbo,53.6,94,20,3.44,-29.9533,-71.3436
329,airai,65.16,100,100,0.4,-8.9266,125.4092
330,tiksi,-21.01,87,100,5.84,71.6872,128.8694
331,manuk mangkaw,82.18,77,100,8.59,4.8,119.85
332,tateyama,46.99,79,72,3,34.9833,139.8667
333,riviere-au-renard,26.6,93,90,6.91,48.9957,-64.3971
334,walvis bay,75.2,60,75,6.91,-22.9575,14.5053
335,maloy,30.47,74,75,8.05,61.9353,5.1136
336,fevralsk,,,,,,
337,ausa,40.39,90,0,2.26,41.9271,2.2497
338,skegness,34.39,100,90,4.61,53.1436,0.3363
339,kurush,48.2,76,75,17.27,41.2841,47.8345
340,san pedro,81.57,70,75,6.91,14.35,121.0167
341,melfi,30.2,86,90,5.75,40.9965,15.6514
342,kiama,73.13,83,50,7,-34.6833,150.8667
343,ankara,33.19,100,90,1.14,39.9199,32.8543
344,tawnat,,,,,,
345,kenai,31.08,55,90,4.61,60.5544,-151.2583
346,serowe,80.89,55,87,10.47,-22.3833,26.7167
347,sipe sipe,59,88,90,4.61,-17.45,-66.3833
348,north bend,51.85,94,90,4.36,43.4065,-124.2243
349,marawi,81,87,100,1.01,7.9986,124.2928
350,mar del plata,67.06,82,0,9.22,-38.0023,-57.5575
351,gat,55.62,100,63,3,31.61,34.7642
352,cairns,78.91,73,100,6.91,-16.9167,145.7667
353,kulu,42.01,67,100,27.04,39.0951,33.0799
354,mindelo,69.8,64,75,20.71,16.8901,-24.9804
355,aksu,29.35,77,0,7.74,41.1231,80.2644
356,nishihara,68,56,40,11.5,26.1842,127.7558
357,orapa,85.69,46,42,10.87,-21.2833,25.3667
358,ahuimanu,72.09,73,20,3.44,21.4447,-157.8378
359,khilok,0.77,87,100,13.33,51.3674,110.4676
360,vila franca do campo,60.39,88,40,16.11,37.7167,-25.4333
361,kambove,62.26,98,98,6.26,-10.8764,26.5969
362,falaleu,,,,,,
363,ous,-1.41,93,100,7.14,60.9058,61.5186
364,portsmouth,34.92,92,16,9.69,50.799,-1.0913
365,canon city,17.26,73,1,8.05,38.441,-105.2424
366,hanting,25.74,86,98,12.06,36.7708,119.2108
367,san cristobal,62.37,89,88,1.7,7.7669,-72.225
368,kungurtug,-13.18,85,98,0.36,50.5994,97.5228
369,huanren,8.35,89,91,7.11,41.2647,125.3667
370,saint-joseph,83.1,70,75,19.57,-21.3667,55.6167
371,taksimo,-18,83,100,0.11,56.3444,114.8794
372,taltal,62.44,72,90,1.61,-25.4,-70.4833
373,willmar,31.21,86,90,19.57,45.1219,-95.0433
374,falkenstein,26.71,96,96,5.01,50.4779,12.3713
375,mao,53.6,71,20,4.61,39.8885,4.2658
376,broome,31.53,86,40,8.05,42.2506,-75.833
377,providencia,54,37,0,5.32,28.7167,-111.5833
378,umzimvubu,,,,,,
379,kantemirovka,19.71,97,100,3.85,49.7089,39.8592
380,champerico,62.15,95,93,3.47,14.3,-91.9167
381,hovd,1.74,71,0,1.03,48.0056,91.6419
382,chicama,69.49,82,100,3.78,-7.8447,-79.1469
383,half moon bay,50.23,100,20,3.44,37.4636,-122.4286
384,vila velha,73.4,94,75,2.3,-20.3297,-40.2925
385,salvador,71.6,88,20,3.44,13.8333,-88.9167
386,port maria,70.43,97,72,4.9,18.3685,-76.8895
387,mogadishu,83.55,61,47,18.57,2.0371,45.3438
388,paamiut,24.84,88,100,13.09,61.994,-49.6678
389,sand springs,38.08,45,1,9.22,36.1398,-96.1089
390,brazzaville,78.8,78,40,4.61,-4.2658,15.2832
391,wanning,69.19,78,5,7.54,18.8003,110.3967
392,carutapera,78.03,82,49,6.76,-1.195,-46.02
393,dingle,78.03,90,8,8.1,10.9995,122.6711
394,vega de alatorre,66.61,79,99,9.04,20.0333,-96.6333
395,kumluca,58.6,58,18,14.12,36.3703,30.2869
396,flinders,73.99,83,58,7,-34.5833,150.8552
397,narsaq,17.6,57,75,7.76,60.9167,-46.05
398,pangody,-8.68,88,100,8.39,65.85,74.4859
399,hirtshals,28.4,86,75,4.61,57.5881,9.9592
400,shaowu,54.95,51,0,1.01,27.3409,117.4831
401,sao joao da barra,75.2,88,0,2.3,-21.6403,-41.0511
402,sogdiondon,,,,,,
403,mount gambier,57.2,72,90,20.71,-37.8333,140.7667
404,takoradi,83.8,71,0,5.21,4.8845,-1.7554
405,qabis,,,,,,
406,zachagansk,,,,,,
407,waipawa,63.14,88,1,1.14,-41.4122,175.5153
408,quang ngai,69.85,77,42,4.47,15.1167,108.8
409,west wendover,23,74,1,3.44,40.7391,-114.0733
410,tabou,82.24,76,2,5.39,4.423,-7.3528
411,the valley,76.66,83,20,4.61,18.217,-63.0578
412,cuencame,45.21,47,81,1.36,24.8711,-103.6964
413,yulara,86,25,37,21.85,-25.2406,130.9889
414,husavik,35.6,69,0,4.61,66.0449,-17.3389
415,mys shmidta,,,,,,
416,porto novo,82.4,89,40,4.61,6.4965,2.6036
417,oksfjord,36.68,80,75,16.11,70.2396,22.3479
418,aykhal,-37.12,80,100,7.16,66,111.5
419,palmares do sul,73.69,82,44,12.3,-30.2578,-50.5097
420,ibra,80.74,14,0,5.91,22.6906,58.5334
421,horsham,33.98,93,75,5.75,51.064,-0.3272
422,margate,39.42,65,100,1.99,51.3813,1.3862
423,burica,,,,,,
424,kailua,71.98,73,20,3.44,21.4022,-157.7394
425,vondrozo,87.98,56,0,5.61,-22.8167,47.2833
426,vieques,68.72,88,1,4.25,18.425,-65.8329
427,pacifica,52.83,82,1,5.99,37.6138,-122.4869
428,old saybrook,35.37,100,28,7.65,41.2918,-72.3762
429,hvolsvollur,39.74,81,75,23.02,63.7533,-20.2243
430,fukue,59,77,75,8.05,32.6881,128.8419
431,petropavlovsk-kamchatskiy,3.2,72,36,6.71,53.0452,158.6483
432,jefferson city,35.47,56,40,16.11,38.5767,-92.1735
433,ulagan,-3.64,79,12,2.1,50.6321,87.9563
434,aswan,67.14,29,8,9.84,24.0934,32.907
435,yinchuan,27.86,75,76,3.96,38.4681,106.2731
436,jumla,61.25,28,100,5.97,29.2747,82.1838
437,ambanja,89.6,72,40,2.3,-13.6833,48.45
438,glenluce,39,94,100,9.37,54.8798,-4.8084
439,chifeng,-3.93,82,0,3.22,42.2683,118.9636
440,kavieng,82.96,76,95,11.92,-2.5744,150.7967
441,maceira,39.2,100,90,1.14,39.6885,-8.8942
442,luba,87.8,66,20,1.14,3.4568,8.5547
443,cedar city,21.2,58,1,3.44,37.6775,-113.0619
444,praia da vitoria,62.35,88,75,28.03,38.7333,-27.0667
445,nioro,81.14,15,40,13.67,13.35,-15.75
446,makinsk,4.84,88,100,9.95,52.6292,70.4169
447,rundu,76.77,70,66,12.12,-17.9333,19.7667
448,caohe,48.99,45,0,1.66,30.2297,115.4335
449,trincomalee,80.64,80,100,11.77,8.5711,81.2335
450,cidreira,74.1,83,68,17.56,-30.1811,-50.2056
451,nizhniy ufaley,9.77,92,100,8.97,55.9153,59.9842
452,haines junction,17.6,93,99,2.06,60.7522,-137.5108
453,yar-sale,-8.52,88,100,7.58,66.8333,70.8333
454,svetlyy,20.73,79,40,13.42,54.675,20.1347
455,olafsvik,39.22,91,100,16.17,64.8945,-23.7142
456,nyurba,-22.94,86,100,7.67,63.2842,118.3319
457,grand centre,,,,,,
458,uige,77,69,20,6.91,-7.6087,15.0613
459,changji,6.8,92,99,2.24,44.0167,87.3167
460,usinsk,-5.3,90,100,7.31,65.9939,57.5281
461,kruisfontein,74.93,76,76,27.51,-34.0033,24.7314
462,yarmouth,39.52,93,90,4.61,41.7057,-70.2286
463,goderich,35.6,87,100,17.27,43.7501,-81.7165
464,emilio carranza,66.7,76,99,8.16,19.9711,-96.6114
465,road town,75.67,92,82,11.27,18.4167,-64.6167
466,henties bay,68.56,82,100,5.39,-22.116,14.2845
467,morondava,87.53,66,75,8.55,-20.2833,44.2833
468,aflu,,,,,,
469,marsa matruh,60.8,51,0,17.27,31.3525,27.2453
470,ayni,50.63,43,0,3.62,39.3941,68.5377
471,calabasas,70.39,13,1,21.85,34.1578,-118.6384
472,torres,69.58,93,97,2.64,-29.3353,-49.7269
473,roma,29.66,86,1,5.75,43.2128,-75.4557
474,oum hadjer,87.69,12,0,11.56,13.2954,19.6966
475,kismayo,83.7,63,45,15.79,-0.3582,42.5454
476,pyapon,83.07,41,0,8.01,16.2833,95.6833
477,kaman,70.39,27,17,2.01,27.65,77.2667
478,santa eulalia del rio,,,,,,
479,vostok,-0.62,92,100,1.48,46.4856,135.8833
480,sao filipe,73.98,65,99,14.03,14.8961,-24.4956
481,itoman,68.7,68,20,10.36,26.1247,127.6694
482,point fortin,72.48,95,100,1.01,10.1833,-61.6833
483,chapais,24.8,93,90,2.3,49.7834,-74.8492
484,kem,-3.86,92,82,5.01,64.9555,34.5793
485,hohhot,15.8,45,0,17.9,40.8106,111.6522
486,thinadhoo,81.75,78,38,16.84,0.5333,72.9333
487,calvinia,73.4,49,20,12.66,-31.4707,19.776
488,mnogovershinnyy,-18.06,86,15,4.05,53.9353,139.9242
489,ust-bolsheretsk,,,,,,
490,mayo,34.84,100,1,7.87,38.8876,-76.5119
491,la ciotat,51.01,57,1,8.99,43.1748,5.6045
492,zeya,-21.75,85,25,0.51,53.75,127.2667
493,halifax,33.6,100,100,5.75,44.6453,-63.5724
494,lielvarde,9.36,85,90,8.05,56.7207,24.8074
495,polson,24.55,66,100,1.61,47.6936,-114.1632
